Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2009-02-03,10.735533714294434,11.303481253006014,10.691162667373519,11.13930863329083,28953600
2009-02-04,10.899707794189453,11.145966333598603,10.773250843623801,10.839806999767706,33166400
2009-02-05,11.922457695007324,12.22417901534794,11.425503388826742,11.589676042905573,96728400
2009-02-06,12.292956352233887,12.423850525551828,11.909148214340721,11.969049023788694,45907600
2009-02-09,12.272988319396973,12.501498136046274,12.113252841804991,12.317359379428922,31874400
2009-02-10,11.946860313415527,12.423847660326029,11.893615725946308,12.230834549712052,38071600
2009-02-11,12.216937065124512,12.276954871802124,11.892397086462447,12.025769424883375,23668000
2009-02-12,12.537040710449219,12.581497622049255,11.803489797591338,12.065789646245477,34827600
2009-02-13,12.437005996704102,12.881581718852875,12.283626829867803,12.654847998801694,40788000
2009-02-17,12.059114456176758,12.27028805864205,11.930187111190941,12.156920793504762,35581600
2009-02-18,12.481464385986328,12.645956936856313,12.059117088851396,12.1302491402483,36329200
2009-02-19,12.365876197814941,12.870469835972854,12.334756027278859,12.659296159956654,35102400
2009-02-20,12.372543334960938,12.468127190951213,12.114689428744628,12.14803294984299,42908000
2009-02-23,12.059114456176758,12.634839954454595,12.001319995019474,12.457009864785153,31967200
2009-02-24,12.525920867919922,12.66596246045946,11.91685259198006,12.079122631860708,43590800
2009-02-25,12.319198608398438,12.570384246178095,12.256958249570708,12.472577846882904,34394800
2009-02-26,12.461459159851074,12.59483155189663,12.179153443659025,12.503693552807936,35902400
2009-02-27,12.605942726135254,12.87046578842597,12.225830737621607,12.225830737621607,47237200
2009-03-02,12.039113998413086,12.663743373672665,11.974650296575675,12.43256372788679,39060000
2009-03-03,12.083569526672363,12.365875241499209,11.827938120533437,12.165815806437354,42195600
2009-03-04,12.290297508239746,12.419224042100948,11.981317480166473,12.225833817328647,35775200
2009-03-05,11.874621391296387,12.334758208906983,11.71012878995183,12.12580700184606,44144800
2009-03-06,11.156628608703613,12.036889275057119,10.938786583826332,11.95019628788549,60701600
2009-03-09,11.069938659667969,11.354467784503502,10.834313998366804,11.041040991560054,33554400
2009-03-10,11.752359390258789,11.752359390258789,11.245543320559788,11.334458807296174,38644400
2009-03-11,11.418926239013672,11.927965602171025,11.229981911953574,11.927965602171025,36124400
2009-03-12,12.023550033569336,12.023550033569336,11.174410500765303,11.40336671859587,43276000
2009-03-13,11.570082664489746,12.303632415214004,11.492282254549623,12.061338619736505,49564400
2009-03-16,11.596757888793945,11.943527274785811,11.527849191088281,11.776811370590654,33474400
2009-03-17,12.290297508239746,12.310303452041088,11.410037676902723,11.558970154565266,25730400
2009-03-18,12.517029762268066,12.559264150605951,11.883508849434415,12.103574204999154,45296400
2009-03-19,11.712346076965332,12.603720797273139,11.654551611211001,12.532588755747431,41743600
2009-03-20,11.676778793334961,12.083565906778514,11.67011043015088,11.825712072145038,33476000
2009-03-23,12.345871925354004,12.354763646129244,11.759031921566747,11.974650638618765,44656800
2009-03-24,11.914626121520996,12.179149154668062,11.84127158611666,12.065781898187694,43555600
2009-03-25,11.725685119628906,12.170260858761756,11.398921680018764,11.992430732700802,58624800
2009-03-26,12.336981773376465,12.40144548525256,11.67456375468746,11.865731535858629,59466400
2009-03-27,12.059114456176758,12.517027679041231,12.050222739703097,12.065782819551627,32687200
2009-03-30,11.892401695251465,12.192489996975288,11.78348025989306,11.847943949228423,38596400
2009-03-31,12.35920524597168,12.49924684164981,11.96797896745804,12.09246048005648,47446400
2009-04-01,12.068011283874512,12.448123420526345,11.921301291765324,12.170263522746739,44144400
2009-04-02,12.356985092163086,12.69486282098321,12.252509501920501,12.328087426103439,47396800
2009-04-03,13.355057716369629,13.372840307799182,12.285852589899163,12.285852589899163,57694800
2009-04-06,13.143880844116211,13.346162754254692,12.83712337284262,13.048297000516186,44927600
2009-04-07,12.703755378723145,13.061638229229432,12.68597193752571,12.97716942742507,27122400
2009-04-08,12.852685928344727,12.863800153422345,12.5392600325742,12.848240068721475,23815600
2009-04-09,13.068305015563965,13.232797576271713,12.810451101838556,13.081641746022923,45785600
2009-04-13,13.584016799926758,13.648480509126104,12.892701137729858,12.92826717591549,38124400
2009-04-14,12.966052055358887,13.541776833107818,12.921594311110988,13.361724198447199,35712000
2009-04-15,13.139435768127441,13.177224297961512,12.725980205683879,12.899364468143087,29687600
2009-04-16,12.908255577087402,13.197229616870148,12.781551568506037,12.914923941340884,36114000
2009-04-17,12.89269733428955,13.1438828818522,12.728203926231988,12.932709221439742,37814400
2009-04-20,12.225828170776367,12.821559502207409,12.216936455868893,12.67040374062278,42577200
2009-04-21,13.032739639282227,13.048299724236232,12.059118412937622,12.190268306093541,37746000
2009-04-22,12.783775329589844,13.323934934160212,12.717089136622343,12.848239016908172,34680000
2009-04-23,12.94382095336914,13.10831432974843,12.69263545418001,12.948266811969752,35890800
2009-04-24,13.421741485595703,13.503987757968266,12.901587849148118,13.183893538600872,39686000
2009-04-27,13.086089134216309,13.27503436808042,13.032740510226295,13.066083188229781,29496800
2009-04-28,13.495096206665039,13.790739476897178,12.91492473792329,12.926039809645818,42287600
2009-04-29,14.117500305175781,14.168627254435998,13.67292462643925,13.75739424282822,59240400
2009-04-30,14.439823150634766,15.115578634265542,14.208643509188269,14.257547123176101,101753600
2009-05-01,14.450935363769531,14.737686928712183,13.924112484560208,14.259767653807765,60616800
2009-05-04,15.160030364990234,15.240054124939762,14.386469613373688,14.688781218533757,78935200
2009-05-05,14.97998046875,15.22672015733829,14.886619963857667,15.075564327355572,56786000
2009-05-06,14.713229179382324,15.1644731161098,14.615422010306771,15.131129608841203,41830400
2009-05-07,14.566522598266602,14.89328601044015,14.526510717267357,14.81103889507456,34731200
2009-05-08,15.211159706115723,15.220051424832128,14.559856149455857,14.664331724471218,37834800
2009-05-11,14.655439376831055,15.104460129247736,14.655439376831055,14.848830434789363,25980000
2009-05-12,14.497618675231934,14.948862889623182,14.384251359128971,14.857724026736692,36373600
2009-05-13,14.354009628295898,14.576655965452883,14.140268499135628,14.320612337991001,47555600
2009-05-14,14.365138053894043,14.494273311304308,14.14026567202939,14.244909701356454,32861600
2009-05-15,14.487592697143555,14.58333066103246,14.253813434565274,14.34955139845418,24682000
2009-05-18,14.785941123962402,14.817111469069815,14.307251254589413,14.543255781447368,59304400
2009-05-19,14.427481651306152,14.7636763583272,14.313931556922439,14.70133566294996,45784400
2009-05-20,14.463106155395508,14.908398838869472,14.385180275518922,14.529900737379315,33858000
2009-05-21,14.756999015808105,14.765905073169904,14.354009687463002,14.362915744824802,55723600
2009-05-22,14.638998031616211,15.028629157932993,14.523222672919692,14.897268622130078,21735200
2009-05-26,14.866090774536133,14.892808938585455,14.534348306207539,14.647898380096855,20556800
2009-05-27,14.676848411560059,15.171123628410529,14.527675750231532,14.768134239292358,27156800
2009-05-28,14.805977821350098,14.915074024409957,14.638993109079232,14.759222305753015,20184000
2009-05-29,15.075376510620117,15.117679839240205,14.650123081048443,14.834918166868016,32198400
